City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Pisco,PE,-13.7,-76.2167,57.02,88,0,3.44,mist
229,Phangnga,TH,8.4509,98.5298,87.84,76,100,7.14,overcast clouds
230,Manuk Mangkaw,PH,4.8,119.85,82.06,78,100,7.76,moderate rain
231,Leshukonskoye,RU,64.8989,45.7622,69.73,66,44,3.2,scattered clouds
232,Saskylakh,RU,71.9167,114.0833,51.89,93,100,11.01,light rain
233,Iquitos,PE,-3.7481,-73.2472,73.44,100,40,0.0,mist
234,Bubaque,GW,11.2833,-15.8333,78.98,80,91,14.23,overcast clouds
235,Plettenberg Bay,ZA,-34.0527,23.3716,51.8,77,84,10.4,light rain
236,Dunedin,NZ,-45.8742,170.5036,43.81,84,100,10.0,overcast clouds
237,Broome,US,42.2506,-75.833,63.36,83,0,0.78,clear sky
238,Kruisfontein,ZA,-34.0033,24.7314,49.62,79,90,14.79,light rain
239,Guerrero Negro,MX,27.9769,-114.0611,70.54,77,5,10.8,clear sky
240,Pilkhuwa,IN,28.7167,77.65,82.98,78,99,5.91,overcast clouds
241,Cardston,CA,49.2,-113.3019,56.62,95,14,8.5,few clouds
242,Rocha,UY,-34.4833,-54.3333,47.23,85,100,3.6,overcast clouds
243,Puteyets,RU,65.1716,57.091,72.1,50,56,8.63,broken clouds
244,Grand Gaube,MU,-20.0064,57.6608,72.0,71,99,11.01,overcast clouds
245,Aksu,CN,41.1231,80.2644,83.73,30,98,3.0,overcast clouds
246,Ciucsangeorgiu,RO,46.3167,25.95,60.39,98,100,0.22,light rain
247,Vad,RU,55.5301,44.2114,65.41,61,0,8.34,clear sky
248,Batticaloa,LK,7.7102,81.6924,83.88,68,100,2.3,overcast clouds
249,Mehamn,NO,71.0357,27.8492,51.75,100,100,6.91,overcast clouds
250,Cordele,US,31.9635,-83.7824,82.92,61,0,3.44,clear sky
251,Lardos,GR,36.0942,28.0157,78.94,66,1,13.91,clear sky
252,Rio Gallegos,AR,-51.6226,-69.2181,34.72,70,99,11.27,overcast clouds
253,La Rioja,ES,42.25,-2.5,56.98,95,2,2.62,clear sky
254,Goure,NE,13.9835,10.2704,74.01,72,100,10.07,overcast clouds
255,Yankton,US,42.8711,-97.3973,75.11,64,20,10.36,few clouds
256,Yulara,AU,-25.2406,130.9889,69.55,27,6,10.13,clear sky
257,Pringsewu,ID,-5.3582,104.9744,86.16,63,76,2.08,broken clouds
258,Dalbandin,PK,28.8947,64.4101,91.9,25,97,14.54,overcast clouds
259,Platteville,US,42.7342,-90.4785,67.51,100,0,5.75,clear sky
260,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,69.01,38,1,4.0,clear sky
261,Bilibino,RU,68.0546,166.4372,62.17,42,96,9.33,overcast clouds
262,Soverato,IT,38.685,16.5499,80.55,76,4,7.18,clear sky
263,Bowen,AU,-20.0167,148.2333,70.2,70,89,19.1,overcast clouds
264,Paraiso,CR,9.8383,-83.8656,68.88,100,100,4.21,overcast clouds
265,Waipawa,NZ,-41.4122,175.5153,43.05,78,100,17.67,overcast clouds
266,Socota,CO,6.0403,-72.6351,50.74,95,99,2.82,overcast clouds
267,Karratha,AU,-20.7377,116.8463,80.85,29,4,13.53,clear sky
268,Vostok,RU,46.4856,135.8833,77.97,69,100,5.99,overcast clouds
269,Polis,CY,35.0367,32.4264,81.28,56,0,4.18,clear sky
270,Najran,SA,17.4924,44.1277,86.65,35,96,8.7,overcast clouds
271,Balaipungut,ID,1.05,101.2833,89.26,56,27,5.64,scattered clouds
272,Avera,US,33.194,-82.5271,76.55,90,69,3.09,broken clouds
273,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,2.3,overcast clouds
274,Birchis,RO,45.9667,22.1667,64.31,96,95,6.15,overcast clouds
275,Kristinehamn,SE,59.3098,14.1081,61.36,74,92,6.96,light rain
276,Lesozavodsk,RU,45.4794,133.4244,83.28,71,100,6.71,light rain
277,Fortuna,US,40.5982,-124.1573,60.93,90,100,4.61,overcast clouds
278,Fort Dodge,US,42.4975,-94.168,69.8,68,20,6.91,few clouds
279,Beloha,MG,-25.1667,45.05,68.95,68,5,2.19,clear sky
280,Oranjestad,AW,12.524,-70.027,80.46,84,5,27.29,clear sky
281,Vicosa,BR,-20.7539,-42.8819,54.68,97,13,5.01,few clouds
282,Hay River,CA,60.8156,-115.7999,52.84,75,51,3.67,broken clouds
283,Acapulco,MX,16.8634,-99.8901,82.22,78,75,3.44,broken clouds
284,Bow Island,CA,49.8668,-111.3684,68.63,62,75,2.51,light rain
285,Kabalo,CD,-6.05,26.9167,77.68,58,89,1.52,overcast clouds
286,Hovd,MN,48.0056,91.6419,78.98,27,82,8.68,broken clouds
287,Bayan,CN,46.0833,127.4,86.38,61,48,10.09,scattered clouds
288,Gisborne,NZ,-38.6533,178.0042,48.15,77,66,11.07,broken clouds
289,Muddebihal,IN,16.3333,76.1333,83.59,61,100,7.72,overcast clouds
290,Folldal,NO,62.1325,9.9968,54.79,71,99,3.6,overcast clouds
291,Chicama,PE,-7.8447,-79.1469,57.74,85,35,2.98,scattered clouds
292,Bereda,ES,43.2686,-7.5406,62.15,100,65,6.38,broken clouds
293,Kangaatsiaq,GL,68.3065,-53.4641,41.68,97,92,11.27,overcast clouds
